fid,objectid,id,commentair,zone,n_zone,auteur,annee_dig,comment,eb_success,annee,annee_evac,shape_leng,shape_area,id_1,x,y,cell_6
1.0,520.0,2.0,,,,PL section Bes Menard,2000.0,,,,pas encore evacue,362.484204692,3753.75398103427,520.0,507094.0,6963700.0,Cap_Fecamp
2.0,556.0,3.0,,,,PL section Bes Menard,2008.0,,,,2012,118.497528772,455.12096194364,556.0,508323.00000000006,6964340.0,Cap_Fecamp
3.0,557.0,4.0,,,,PL section Bes Menard,2008.0,,,,pas encore evacue,275.843804862,3065.06940790173,557.0,507442.0,6963860.0,Cap_Fecamp
4.0,559.0,6.0,,,,PL section Bes Menard,2008.0,,O ac id 52 (1992),"1992, 2008",pas encore evacue,195.49672393,2068.13951865794,559.0,506804.99999999994,6963570.0,Cap_Fecamp
5.0,560.0,7.0,,,,PL section Bes Menard,2008.0,,,,2022,54.599864102,98.57589692436,560.0,506738.0,6963550.0,Cap_Fecamp
6.0,561.0,8.0,,,,PL section Bes Menard,2008.0,,,,pas encore evacue,538.248560644,6175.76567299722,561.0,506591.00000000006,6963520.0,Cap_Fecamp
7.0,562.0,9.0,,,,PL section Bes Menard,2008.0,,,,pas encore evacue,316.008781546,4952.87187936716,562.0,506263.00000000006,6963440.000000001,Cap_Fecamp
8.0,563.0,10.0,,,,PL section Bes Menard,2008.0,,,,2022,128.345386572,481.97505227104,563.0,505676.99999999994,6963580.0,Cap_Fecamp
9.0,564.0,11.0,,,,PL section Bes Menard,2008.0,,,,2022,156.666347702,1086.01777270192,564.0,505218.0,6963450.0,Cap_Fecamp
10.0,565.0,12.0,,,,PL section Bes Menard,2008.0,,,2012,2012,93.5611001698,415.41948164906006,565.0,504940.0,6963450.0,Cap_Fecamp
11.0,566.0,13.0,,,,PL section Bes Menard,2008.0,,,2012,2015,60.5813973826,174.08232741419,566.0,504534.0,6963210.0,Cap_Fecamp
12.0,567.0,14.0,,,,PL section Bes Menard,2008.0,,,2012,2012,100.996116658,346.2082862407,567.0,504403.00000000006,6963250.0,Cap_Fecamp
13.0,568.0,15.0,,,,PL section Bes Menard,2008.0,,O ac id 45 (1947) et 46 (1992),"1947, 1992, 2008",pas encore evacue,247.051129722,2259.31543962273,568.0,503600.0,6962850.0,Cap_Fecamp
14.0,569.0,16.0,,,,PL section Bes Menard,2008.0,,O ac id 44 (1947),"1947, 2008",2012,322.802193706,2004.1409603083698,569.0,503230.0,6962620.0,Cap_Fecamp
15.0,570.0,17.0,,,,PL section Bes Menard,2008.0,,O ac id 41 (1992),"1992, 2008",pas encore evacue,242.156861431,2045.54188817518,570.0,502752.0,6962290.0,Cap_Fecamp
16.0,571.0,18.0,,,,PL section Bes Menard,2008.0,,O ac id 40 (1985),"1985, 2008",pas encore evacue,330.841886952,2580.94828736922,571.0,502504.0,6962220.0,Cap_Fecamp
17.0,572.0,19.0,,,,PL section Bes Menard,2008.0,,O ac id 43 (1947),"1947, 2008",2019,371.065642111,2628.91225013137,572.0,502384.99999999994,6962150.0,Cap_Fecamp
18.0,574.0,21.0,,,,PL section Bes Menard,2008.0,,,,2012,69.0010443449,191.00768559426,574.0,501815.00000000006,6961760.0,Cap_Fecamp
19.0,575.0,22.0,,,,PL section Bes Menard,2008.0,,,,2012,213.698452274,1945.44531882741,575.0,501723.00000000006,6961720.0,Cap_Fecamp
20.0,576.0,23.0,,,,PL section Bes Menard,2008.0,,O ac id 36 (1982),"1982, 2008",2019,157.21041917,879.25279726402,576.0,500982.0,6961420.0,Cap_Fecamp
21.0,577.0,24.0,,,,PL section Bes Menard,2008.0,,O ac id 35 (1982),"1982, 2008",pas encore evacue,661.050132148,8093.40589567705,577.0,500500.0,6961240.0,Cap_Fecamp
22.0,578.0,25.0,,,,PL section Bes Menard,2008.0,,,,2012,59.5037074349,180.24133773055,578.0,500202.0,6961190.0,Cap_Fecamp
23.0,579.0,26.0,,,,PL section Bes Menard,2008.0,,,,2012,86.0356955412,264.97955614841,579.0,499678.0,6961150.0,Cap_Fecamp
24.0,580.0,27.0,,,,PL section Bes Menard,2008.0,redond part ac id 1278 (1977),N,,2012,172.061382626,1133.3313163463,580.0,499576.99999999994,6961140.0,Cap_Fecamp
25.0,581.0,28.0,,,,PL section Bes Menard,2008.0,,,,impossible a dire car eboulements par dessus,77.5166923984,284.97583444603,581.0,499364.0,6961060.0,Cap_Fecamp
26.0,582.0,29.0,,,,PL section Bes Menard,2008.0,,O ac id 1277 (1977),"1977, 2008",impossible a dire car eboulements par dessus,268.611343667,1794.73694645922,582.0,499286.0,6961020.0,Cap_Fecamp
27.0,583.0,30.0,,,,PL section Bes Menard,2008.0,redond part ac id 1277 (1977),N,,2012,94.8098502864,382.29991660063,583.0,499146.0,6960950.0,Cap_Fecamp
108.0,84.0,115.0,,,,PL,2000.0,redond part ac id 103,N,,pas encore evacue,262.071905869,2366.31904448825,84.0,514664.99999999994,6968250.0,Fecamp_Paluel
109.0,85.0,116.0,,,,PL,2000.0,,O ac id 92 (1978),"1978, 2000",pas encore evacue,351.008437251,8066.74003203807,85.0,515654.0,6968870.0,Fecamp_Paluel
110.0,89.0,117.0,,,,PL,2000.0,,,,2012,126.929610892,503.38141479436,89.0,518078.0,6970180.0,Fecamp_Paluel
111.0,90.0,118.0,,,,PL,2000.0,redond part ac id 107,,,pas encore evacue,175.216927699,1691.83135108551,90.0,518222.0,6970260.0,Fecamp_Paluel
112.0,92.0,119.0,,,,PL,2000.0,,O ac id 109 (1992),"1992, 2000",2012,224.431542615,2015.4810757708,92.0,518660.0,6970520.0,Fecamp_Paluel
113.0,94.0,120.0,,,,PL,2000.0,,,,2008,68.3602761185,135.8888725955,94.0,520324.0,6971760.000000001,Fecamp_Paluel
114.0,95.0,121.0,,,,PL,2000.0,,,,impossible a dire car eboulement par dessus,63.6663146729,196.43970626651003,95.0,520435.00000000006,6971800.0,Fecamp_Paluel
115.0,96.0,122.0,,,,PL,2000.0,,,,pas encore evacue,168.117737847,1705.35759168482,96.0,520563.00000000006,6971830.0,Fecamp_Paluel
116.0,97.0,123.0,,,,PL,2000.0,,,,2012,106.447436235,336.36331741477,97.0,521050.0,6971900.0,Fecamp_Paluel
117.0,98.0,124.0,,,,PL,2000.0,,O ac id 96 (1978) et id 82 (1985),"1978, 1985, 2000",2008,124.518747945,935.9671273795001,98.0,521398.0,6972180.0,Fecamp_Paluel
118.0,99.0,125.0,,,,PL,2000.0,,,,2012,150.553690684,863.12035289989,99.0,522068.99999999994,6972850.0,Fecamp_Paluel
119.0,100.0,126.0,,,,PL,2000.0,,,,2008 ou 2012,113.436239806,444.00195559848,100.0,522146.0,6972940.0,Fecamp_Paluel
120.0,101.0,127.0,,,,PL,2000.0,redond part ac objectid 76,O ac id 113 (1992),"1992, 2000",2014,309.673770782,1434.88785034721,101.0,522395.00000000006,6973210.0,Fecamp_Paluel
121.0,102.0,128.0,,,,PL,2000.0,,,,2008 ou 2012,144.892700616,1122.75684280321,102.0,522832.99999999994,6973470.0,Fecamp_Paluel
122.0,103.0,129.0,,,,PL,2000.0,,,,2012,43.1699894046,97.5772533454,103.0,523947.00000000006,6974220.0,Fecamp_Paluel
123.0,104.0,130.0,,,,PL,2000.0,,,,2014,182.662705788,993.52424202533,104.0,524236.99999999994,6974360.0,Fecamp_Paluel
124.0,105.0,131.0,,,,PL,2000.0,,,,2019,144.19406425,1014.75441468169,105.0,525723.0,6975160.0,Fecamp_Paluel
125.0,106.0,132.0,,,,PL,2000.0,,,,2015,251.201953926,2725.80895485682,106.0,526600.0,6975380.0,Fecamp_Paluel
126.0,107.0,133.0,,,,PL,2000.0,redond part ac id 61 (1952),N,,2012,70.6259937014,142.73207585112,107.0,523268.99999999994,6973800.0,Fecamp_Paluel
127.0,108.0,134.0,,,,PL,2000.0,,,,2008 ou 2012,52.0340466445,135.3249326509,108.0,522224.0,6973020.0,Fecamp_Paluel
128.0,109.0,135.0,,,,PL,2000.0,,,,2012,102.346885632,416.18808771949,109.0,521279.00000000006,6972110.0,Fecamp_Paluel
129.0,110.0,136.0,,,,PL,2000.0,,,,2012,60.1839853145,182.72166814468997,110.0,520250.0,6971730.0,Fecamp_Paluel
130.0,111.0,137.0,,,,PL,2000.0,,,,2012,35.7838335902,71.85834871046,111.0,520091.00000000006,6971610.0,Fecamp_Paluel
131.0,112.0,138.0,,,,PL,2000.0,,,,2012,194.897522453,2199.10724773863,112.0,519656.99999999994,6971320.0,Fecamp_Paluel
132.0,113.0,139.0,,Les Petites Dalles/Veulettes sur mer,C,Gaberel et al+PL,2008.0,,O ac id 129 (2000),"2000, 2008",2012,189.44735387,1292.75852817111,113.0,523944.99999999994,6974220.0,Fecamp_Paluel
133.0,114.0,140.0,,,,Gaberel et al+PL,2008.0,,,,2019,222.237152869,2530.69230048766,114.0,510150.0,6966270.0,Fecamp_Paluel
134.0,119.0,141.0,,,,Gaberel et al+PL,2008.0,,,,2012,85.8851819725,252.08525665104,119.0,513048.99999999994,6967410.0,Fecamp_Paluel
135.0,124.0,142.0,,,,Gaberel et al+PL,2008.0,redond part ac id 69 (1985),O ac id 91 (1978),"1978, 2008",2019,131.400168903,1006.22404190258,124.0,514832.0,6968340.0,Fecamp_Paluel
136.0,126.0,143.0,,,,Gaberel et al+PL,2008.0,redond part ac id 71 (1985),O ac id 67 (1957),"1957, 2008",2012,207.204930206,1065.07762949448,126.0,515250.0,6968550.0,Fecamp_Paluel
137.0,128.0,144.0,,,,Gaberel et al+PL,2008.0,redond part ac id 98 (1992) et id 99 (1992),N ?,,pas encore evacue,369.40779343,4594.94594007847,128.0,516650.0,6969440.0,Fecamp_Paluel
138.0,130.0,145.0,,,,Gaberel et al+PL,2008.0,,,,pas encore evacue,244.051918313,2453.3293935405104,130.0,517780.0,6970050.0,Fecamp_Paluel
139.0,133.0,146.0,,,,Gaberel et al+PL,2008.0,,,,2019,101.565644226,495.89007058984,133.0,518904.0,6970610.0,Fecamp_Paluel
140.0,135.0,148.0,,,,Gaberel et al+PL,2008.0,,,,2014,174.198678235,942.13104253437,135.0,519912.99999999994,6971520.0,Fecamp_Paluel
141.0,136.0,149.0,,,,Gaberel et al+PL,2008.0,,O ac id 121 (2000),"2000, 2008",pas encore evacue,238.458870523,3301.14570979564,136.0,520443.00000000006,6971820.0,Fecamp_Paluel
142.0,138.0,151.0,,,,Gaberel et al+PL,2008.0,,,,2012,140.215485942,1117.99791182275,138.0,520938.0,6971800.0,Fecamp_Paluel
143.0,139.0,152.0,,,,Gaberel et al+PL,2008.0,redond part ac objectid 139,N,,2012,91.2507526204,173.21537759952,139.0,521303.00000000006,6972120.0,Fecamp_Paluel
144.0,140.0,153.0,,,,Gaberel et al+PL,2008.0,redond part ac id 82 (1985),N,,2012,38.8252587751,101.35570554528,140.0,521352.99999999994,6972150.0,Fecamp_Paluel
145.0,141.0,154.0,,,,Gaberel et al+PL,2008.0,,,,pas encore evacue,112.722222078,504.11974696489,141.0,521812.99999999994,6972490.0,Fecamp_Paluel
146.0,142.0,155.0,,,,Gaberel et al+PL,2008.0,,O ac redond id 125 (2000),"2000, 2008",2012,346.648133899,2401.89123882682,142.0,522056.99999999994,6972820.0,Fecamp_Paluel
147.0,143.0,156.0,,,,Gaberel et al+PL,2008.0,,,,2012,156.769818511,814.53580724285,143.0,522304.99999999994,6973100.0,Fecamp_Paluel
148.0,144.0,157.0,,,,Gaberel et al+PL,2008.0,redond part ac id 127 (2000),,,2012,141.310604529,684.4512082124102,144.0,522456.99999999994,6973260.0,Fecamp_Paluel
149.0,145.0,158.0,,,,Gaberel et al+PL,2008.0,redond part ac ud 61 (1952),,,2012,45.1410944648,84.99619183084,145.0,523284.0,6973810.0,Fecamp_Paluel
150.0,147.0,159.0,,,,Gaberel et al+PL,2008.0,,,,2015,111.187372551,473.90572640207,147.0,524299.0,6974400.0,Fecamp_Paluel
151.0,148.0,160.0,,,,Gaberel et al+PL,2008.0,,,,2012,114.399319495,561.83023141057,148.0,525120.0,6974870.0,Fecamp_Paluel
152.0,150.0,162.0,,,,Gaberel et al+PL,2008.0,,,,2012,123.87211541,373.80615622899,150.0,526156.0,6975300.0,Fecamp_Paluel
153.0,152.0,163.0,,,,Gaberel et al+PL,2008.0,,,,2012,128.05603957,464.67376873322,152.0,525276.0,6974950.0,Fecamp_Paluel
154.0,153.0,164.0,,,,Gaberel et al+PL,2008.0,,,,2019,43.3777918388,132.66495709307,153.0,524658.0,6974600.0,Fecamp_Paluel
155.0,154.0,165.0,,,,Gaberel et al+PL,2008.0,,,,2015,140.872045414,369.34169672149994,154.0,523488.99999999994,6973930.0,Fecamp_Paluel
156.0,155.0,166.0,,,,Gaberel et al+PL,2008.0,,,,2014,99.7259487384,198.37060602382,155.0,523384.0,6973870.0,Fecamp_Paluel
157.0,156.0,167.0,,,,Gaberel et al+PL,2008.0,,,,2015,70.9734446032,124.27944769431,156.0,523324.0,6973839.999999999,Fecamp_Paluel
158.0,157.0,168.0,,,,Gaberel et al+PL,2008.0,redond part ac id 134 (2000),,,pas encore evacue,36.2949693745,58.01645920292,157.0,522234.0,6973030.0,Fecamp_Paluel
159.0,158.0,169.0,,,,Gaberel et al+PL,2008.0,redond part ac id 81 (1985),,,impossible a dire car eboulement par dessus,31.7083407353,67.54982228531,158.0,521228.99999999994,6972070.0,Fecamp_Paluel
160.0,159.0,170.0,,,,Gaberel et al+PL,2008.0,redond part ac id 123 (2000),,,2012,102.907442128,241.89378970256,159.0,521028.99999999994,6971870.0,Fecamp_Paluel
161.0,162.0,172.0,,,,Gaberel et al+PL,2008.0,,,,2012,386.787414643,3930.8724523470205,162.0,519402.0,6971050.0,Fecamp_Paluel
162.0,163.0,173.0,,,,Gaberel et al+PL,2008.0,,,,2012,36.918054825,71.57931152079,163.0,519278.0,6970880.0,Fecamp_Paluel
163.0,165.0,175.0,,,,Gaberel et al+PL,2008.0,,,,pas encore evacue,305.44318313,2352.2657823498,165.0,517164.99999999994,6969670.0,Fecamp_Paluel
164.0,168.0,178.0,,,,Gaberel et al+PL,2008.0,redond part ac id 97 (1992),,,2014,42.6108495063,123.03165368747,168.0,516440.0,6969290.0,Fecamp_Paluel
165.0,169.0,179.0,,,,Gaberel et al+PL,2008.0,,,,2022,49.4304327109,101.50285972143,169.0,514536.0,6968140.0,Fecamp_Paluel
166.0,170.0,180.0,,,,Gaberel et al+PL,2008.0,,,,2022,44.1235875384,139.53338376712,170.0,513928.99999999994,6967860.0,Fecamp_Paluel
167.0,171.0,181.0,,,,Gaberel et al+PL,2008.0,,,,pas encore evacue,182.070860626,1861.7462054370003,171.0,513992.99999999994,6967880.0,Fecamp_Paluel
168.0,172.0,182.0,,,,PL,2000.0,redond part ac id 85 (1978),N,,pas encore evacue,474.347604813,12120.86372083263,172.0,511016.99999999994,6966510.0,Fecamp_Paluel
169.0,175.0,183.0,,,,PL,2000.0,,O ac id 56 (1947) et 86 (1978),"1947, 1978, 2000",pas encore evacue,714.132303113,17372.90833150596,175.0,511414.0,6966610.0,Fecamp_Paluel
170.0,194.0,185.0,,,,PL,2008.0,,,,2019,88.2382060107,206.89011083357,194.0,528504.0,6975820.0,Fecamp_Paluel
171.0,195.0,186.0,,,,PL,2000.0,,,,2012,53.7906986432,163.41612771194,195.0,528332.0,6975860.0,Fecamp_Paluel
172.0,91.0,189.0,,,,Gaberel et al+PL,2000.0,mais i  77 et 108 ne se superposent pas,O ac id 77 (1985) et O ac 108 (1992),"1985, 1992, 2000",2014,426.646220718,3085.00414617197,91.0,518399.00000000006,6970350.0,Fecamp_Paluel
173.0,521.0,190.0,,,,PL section Bes Menard,2000.0,,,,2008,90.3831174242,266.86105861983,521.0,528145.0,6975810.0,Fecamp_Paluel
174.0,553.0,192.0,,,,PL section Bes Menard,2008.0,,,,pas encore evacue,202.063106498,1858.65583223442,553.0,528823.0,6975930.0,Fecamp_Paluel
175.0,555.0,194.0,,,,PL section Bes Menard,2008.0,,,,2012,160.09668153,326.5956984181,555.0,528296.0,6975860.0,Fecamp_Paluel
248.0,100.0,267.0,,,,BLM+PL,2000.0,,"O ac id 205 (1947), id 259 (1990)","1947, 1990, 2000",2008 ou 2012,220.841891597,2715.2142496786,100.0,556192.0,6981700.0,St-Val_Dieppe
249.0,101.0,268.0,,,,BLM+PL,2000.0,redond part ac id  250 (1983),,,2008 ou 2012,256.126455769,3690.14484539453,101.0,556414.0,6981690.0,St-Val_Dieppe
250.0,102.0,269.0,,,,BLM+PL,2000.0,,Oac id 225 (1961),"1961, 2000",2008 ou 2012,227.296139482,3357.05677035952,102.0,559376.0,6982070.0,St-Val_Dieppe
251.0,103.0,270.0,,,,BLM+PL,2000.0,,,,2008 ou 2012,69.6730486902,244.2423271985,103.0,547806.0,6979540.0,St-Val_Dieppe
252.0,104.0,271.0,,,,BLM+PL,2000.0,,,,2014,89.1948290138,284.95399906865,104.0,547935.0,6979570.0,St-Val_Dieppe
